"original_name"	"broad_type"
"renal epithelial cells"	"epithelial cell"
"glomerular cells"	"epithelial cell"
"interstitial cells"	"stromal cell"
"erythroid precursors"	"erythroid cell"
"glandular epithelial cells"	"epithelial cell"
"germinal center b cells"	"B cell"
"follicular helper t cells"	"T/NK cell"
"germ cells"	"germ cell"
"neural progenitors"	"progenitor cell"
"renal tubule cells"	"epithelial cell"
"trophoblast cells"	"epithelial cell"
"renal intercalated cells"	"epithelial cell"
"sweat gland cells"	"epithelial cell"
"apocrine sweat gland cells"	"epithelial cell"
"conjunctival goblet cells"	"epithelial cell"
"ciliary body epithelial cells"	"epithelial cell"
"nkt cells"	"t/nk cell"
"ductal epithelial cells"	"epithelial cell"
"effector cd8+ t cells"	"t/nk cell"
"conventional dendritic cells type 1"	"myeloid cell"
"conventional dendritic cells type 2"	"myeloid cell"
"classical monocytes"	"myeloid cell"
"proliferating natural killer cells"	"t/nk cell"
"chromaffin cells"	"neuroendocrine cell"
"sympathetic neurons"	"neuronal cell"
"cortical neurons"	"neuronal cell"
"excitatory neurons"	"neuronal cell"
"inhibitory neurons"	"neuronal cell"
"projection neurons"	"neuronal cell"
"glutamatergic neurons"	"neuronal cell"
"kidney progenitor cells"	"progenitor cell"
"enteric neurons"	"neuronal cell"
"neuronal progenitor cells"	"progenitor cell"
"mucous epithelial cells"	"epithelial cell"
"hematopoietic progenitor cells"	"progenitor cell"
"alveolar type i cells"	"epithelial cell"
"neural crest-derived cells"	"progenitor cell"
"conventional dendritic cells"	"myeloid cell"
"th17 cells"	"t/nk cell"
"naive b cells"	"B cell"
"liver zonal hepatocytes"	"epithelial cell"
"ribosomal-rich cells"	"other"
"basement membrane cells"	"epithelial cell"
"cornified envelope cells"	"epithelial cell"
"choroid plexus cells"	"epithelial cell"
"cardiomyocytes (ventricular)"	"muscle cell"
"cardiomyocytes (atrial)"	"muscle cell"
"neural crest-derived cells"	"progenitor cell"
"basal myoepithelial cells"	"epithelial cell"
"helper t cells"	"t/nk cell"
"naive t cells"	"t/nk cell"
"myeloid progenitors"	"progenitor cell"
"erythroid precursors"	"erythroid cell"
"kupffer cells"	"myeloid cell"
"fast-twitch skeletal muscle fibers"	"muscle cell"
"slow-twitch skeletal muscle fibers"	"muscle cell"
"gamma delta t cells"	"t/nk cell"
"cajal-retzius cells"	"neuronal cell"
"parvalbumin interneurons"	"neuronal cell"
"somatostatin interneurons"	"neuronal cell"
"npy interneurons"	"neuronal cell"
"vip interneurons"	"neuronal cell"
"fetal pancreatic cells"	"epithelial cell"
"sympathetic neurons"	"neuronal cell"
"mucosal epithelial cells"	"epithelial cell"
"cd8-positive t cells"	"t/nk cell"
"pulmonary ionocytes"	"epithelial cell"
"tubule epithelial"	"epithelial cell"
"gamma-delta t cells"	"t/nk cell"
"effector t cells"	"t/nk cell"
"lymphoid progenitors"	"lymphoid cell"
"b cell precursors"	"B cell"
"proliferating t cells"	"t/nk cell"
"thyroid follicular cells"	"epithelial cell"
"sertoli cell"	"supporting cell"
"neural stem cells"	"stem cell"
"uterine epithelial cells"	"epithelial cell"
"hematopoietic progenitors"	"hematopoietic cell"
"corneal fibroblasts"	"connective tissue cell"
"lacrimal acinar cells"	"secretory cell"
"cd4-positive t cells"	"t/nk cell"
"plasma b cells"	"B cell"
"cycling cd8 t cell"	"t/nk cell"
"cycling gamma-delta t cell"	"t/nk cell"
"neurogliaform interneuron"	"neuronal cell"
"muscle satellite cell"	"muscle cell"
"kidney nephron progenitor cell"	"progenitor cell"
"retinal bipolar neuron"	"neuronal cell"
"mucous epithelial cell"	"epithelial cell"
"cortical thymic epithelial cell"	"epithelial cell"
"interstitial macrophage"	"myeloid cell"
"matrix fibroblast"	"stromal cell"
"general capillary endothelial cells"	"endothelial cell"
"venous endothelial cells"	"endothelial cell"
"aerocyte capillary endothelial cells"	"endothelial cell"
"collecting duct intercalated cell type b"	"epithelial cell"
"cd4+ effector memory t cell"	"t/nk cell"
"tissue-resident memory t cell"	"t/nk cell"
"exhausted cd8+ t cell"	"t/nk cell"
"conventional type 1 dendritic cell"	"myeloid cell"
"conventional type 2 dendritic cell"	"myeloid cell"
"multipotent progenitor cell"	"progenitor cell"
"hematopoietic stem and progenitor cell"	"progenitor cell"
"cytotoxic gamma-delta t cell"	"t/nk cell"
"common lymphoid progenitor"	"progenitor cell"
"follicular b cell"	"B cell"
"cd8+ resident memory t cell"	"t/nk cell"
"endocardial endothelial cell"	"endothelial cell"
"epicardial cell"	"stromal cell"
"hepatic venous endothelial cell"	"endothelial cell"
"hepatic arterial endothelial cell"	"endothelial cell"
"neural progenitor cell"	"progenitor cell"
"decidual stromal cell"	"stromal cell"
"suprabasal squamous epithelial cells"	"epithelial cell"
"spinous layer keratinocytes"	"epithelial cell"
"visceral smooth muscle cells"	"muscle cell"
"cardiomyocyte (conduction)"	"muscle cell"
"cardiomyocyte (contractile)"	"muscle cell"
"muscle fiber cell"	"muscle cell"
"slow-twitch muscle fiber"	"muscle cell"
"spinous keratinocyte"	"epithelial cell"
"suprabasal epithelial cell"	"epithelial cell"
"lipofibroblast"	"fibroblast"
"reticular fibroblast"	"fibroblast"
"papillary fibroblast"	"fibroblast"
"dermal macrophage"	"macrophage"
"sweat gland epithelial cell"	"epithelial cell"
"germinal center b cells"	"B cell"
"neutrophil progenitors"	"progenitor cell"
"corneal stromal keratocyte"	"stromal cell"
"limbal epithelial cell"	"epithelial cell"
"non-pigmented ciliary epithelial cell"	"epithelial cell"
"horizontal cell"	"neuronal cell"
"enteric glial cell"	"glial cell"
"best4+ enterocyte"	"epithelial cell"
"aerocyte"	"endothelial cell"
"migratory dendritic cells"	"dendritic cell"
"fast skeletal muscle cells"	"muscle cell"
"slow skeletal muscle cells"	"muscle cell"
"hillock cell"	"epithelial cell"
"mait cells"	"t/nk cell"
"cytotoxic cd8 t cells"	"t/nk cell"
"eccrine sweat gland cells"	"epithelial cell"
"innate lymphoid cells"	"t/nk cell"
"transit amplifying cells"	"progenitor cell"
"oligodendrocyte precursor"	"glial cell"
"schwann cells"	"glial cell"
"epsilon cells"	"endocrine cell"
"gamma cells"	"endocrine cell"
"delta cells"	"endocrine cell"
"beta cells"	"endocrine cell"
"alpha cells"	"endocrine cell"
"myogenic cells"	"muscle cell"
"osteogenic progenitor cells"	"osteogenic cell"
"fetal kidney epithelial cells"	"epithelial cell"
"lens cells"	"epithelial cell"
"connecting tubule cell"	"epithelial cell"
"mesangial cell"	"mesangial cell"
"axl+ dendritic cell"	"dendritic cell"
"hematopoietic progenitor cell"	"hematopoietic cell"
"liver sinusoidal endothelial cells"	"endothelial cell"
"portal endothelial cells"	"endothelial cell"
"renal distal tubule cell"	"epithelial cell"
"secretory epithelial cell"	"epithelial cell"
"pluripotent stem cells"	"stem cell"
"sperm cells"	"germ cell"
"neural progenitors"	"neural cell"
"spermatocytes"	"germ cell"
"urothelial cells"	"epithelial cell"
"trophoblast cells"	"trophoblast cells → epithelial cell"
"renal intercalated cell"	"renal intercalated cell → epithelial cell"
"decidual cells"	"decidual cells → stromal cell"
"suprabasal epithelial cell"	"suprabasal epithelial cell → epithelial cell"
"prostate basal epithelial cell"	"prostate basal epithelial cell → epithelial cell"
"myofiber"	"myofiber → muscle cell"
"leukocyte"	"leukocyte → immune cell"
"interstitial cells of cajal"	"interstitial cells of cajal → stromal cell"
"plasmacytoid dendritic cells"	"plasmacytoid dendritic cells → immune cell"
"conjunctival epithelium"	"conjunctival epithelium → epithelial cell"
"rod photoreceptors"	"rod photoreceptors → neuronal cell"
"corneal keratocytes"	"corneal keratocytes → stromal cell"
"limbal stem cells"	"limbal stem cells → stem cell"
"lacrimal gland acinar cells"	"lacrimal gland acinar cells → epithelial cell"
"corneal epithelium"	"corneal epithelium → epithelial cell"
"ciliary epithelium"	"ciliary epithelium → epithelial cell"
"horizontal cells"	"horizontal cells → neuronal cell"
"preadipocyte"	"preadipocyte → mesenchymal cell"
"proximal tubule epithelial cells"	"proximal tubule epithelial cells → epithelial cell"
"colon epithelial cells"	"colon epithelial cells → epithelial cell"
"enteric glial cells"	"glial cell"
"colonocytes"	"epithelial cell"
"tuft cells"	"epithelial cell"
"intestinal stem cells"	"stem cell"
"stellate cells"	"stellate cell"
"cholangiocytes"	"epithelial cell"
"satellite cells"	"muscle-associated cell"
"tenocytes"	"muscle-associated cell"
"fast-twitch muscle fibers"	"muscle cell"
"slow-twitch muscle fibers"	"muscle cell"
"pancreatic polypeptide cells"	"endocrine cell"
"cycling cell"	"cycling cell"
"ductal epithelial cell"	"epithelial cell"
"sweat gland epithelial cell"	"epithelial cell"
"b cell"	"B cell"
"row"	"unknown"
"hematopoietic stem/progenitor cell"	"stem cell"
"cortical interneuron"	"neuron"
"serotonergic neuron"	"neuron"
"sst interneuron"	"neuron"
"npy interneuron"	"neuron"
"vip neuron"	"neuron"
"kidney epithelial cell"	"epithelial cell"
"maybe endothelial cells?"	"endothelial cell"
"fetal skeletal muscle cells"	"muscle cell"
"forebrain neurons"	"neuron"
"embryonic kidney cells"	"epithelial cell"
"fetal pancreatic ductal cells"	"epithelial cell"
"fetal lung epithelial cells"	"epithelial cell"
"placental syncytiotrophoblast"	"placental cell"
"fetal respiratory ciliated cells"	"epithelial cell"
"fetal mesothelial cells"	"mesothelial cell"
"fetal kidney cells"	"epithelial cell"
"fetal gut endocrine cells"	"endocrine cell"
"gastric mucosal epithelial cells"	"epithelial cell"
"fetal lens cells"	"epithelial cell"
"medullary thymic epithelial cells"	"epithelial cell"
"scgb3a1 (cl"	"epithelial cell"
"thus, the"	"epithelial cell"
"conventional dendritic cells"	"dendritic cell"
"batf3+ dendritic cells"	"dendritic cell"
"pre-b cell."	"B cell"
"gammadelta t cell"	"t/nk cell"
"granulocytes"	"granulocyte"
"cardiomyocyte."	"muscle cell"
"paneth cell"	"epithelial cell"
"ac"	"adipocyte"
"brown adipocyte"	"adipocyte"
"paneth cell"	"epithelial cell"
"testicular germ cell"	"germ cell"
"germ cells (dppa3, dazl)."	"germ cell"
"cd8+ t cells (gzma, cd8a)."	"t/nk cell"
"nk cells (nkg7, ccl5)."	"t/nk cell"
"cardiac"	"muscle cell"
"squamous epithelial cells"	"epithelial cell"
"macrophages."	"macrophage"
"let"	"unknown"
"maybe \fibroblast\."	"fibroblast"
"alright, i'll proceed with that."	"unknown"
"basal stem cell"	"epithelial cell"
"fibro-adipogenic progenitors"	"stromal cell"
"conventional dendritic cell type 1"	"myeloid cell"
"myeloid dendritic cells"	"myeloid cell"
"myofibroblasts vs. smooth muscle cells."	"stromal cell"
"yes, that makes sense."	"stromal cell"
"prostate glandular epithelial cells"	"epithelial cell"
"skeletal muscle myocytes"	"muscle cell"
"m2 macrophages"	"myeloid cell"
"differentiated keratinocytes"	"epithelial cell"
"sweat gland cells"	"epithelial cell"
"gamma/delta t cell"	"t/nk cell"
"tumor-associated macrophages"	"myeloid cell"
"cancer-associated fibroblasts"	"stromal cell"
"natural killer t cells."	"t/nk cell"
"alright, proceeding with that."	"myeloid cell"
"myeloid cell."	"neural cell"
"enteric neurons."	"neural cell"
"neuroendocrine."	"stromal cell"
"myoepithelial"	"epithelial cell"
"luminal epithelial"	NA
"lymphatic endothelial"	"endothelial cell"
"skeletal muscle cells"	"muscle cell"
"cardiac muscle cells"	"muscle cell"
"enteroendocrine."	"epithelial cell"
"naive t cells"	"t/nk cell"
"ductal epithelial cells"	"epithelial cell"
"cd4+ t cells."	"t/nk cell"
"enterocytes (mito genes)."	"epithelial cell"
"transit-amplifying cells"	"epithelial cell"
"cycling t cells"	"t/nk cell"
"central memory cd8+ t cells"	"t/nk cell"
"cycling cd8+ t cells"	"t/nk cell"
"layer 2-3 excitatory neurons"	"neuronal cell"
"layer 5 excitatory neurons"	"neuronal cell"
"layer 4 excitatory neurons"	"neuronal cell"
"layer 6 excitatory neurons"	"neuronal cell"
"it excitatory neurons"	"neuronal cell"
"lamp5 interneurons"	"neuronal cell"
"pvalb interneurons"	"neuronal cell"
"sst interneurons"	"neuronal cell"
"muscle satellite cells"	"muscle cell"
"renal progenitor cells"	"progenitor cell"
"hepatic progenitor cells"	"progenitor cell"
"placental trophoblasts"	"epithelial cell"
"intestinal goblet cells"	"epithelial cell"
"placental syncytiotrophoblasts"	"epithelial cell"
"alveolar epithelial type 1 cell"	"epithelial cell"
"alveolar epithelial type 2 cell"	"epithelial cell"
"cycling cells"	"progenitor cell"
"submucosal gland cells"	"epithelial cell"
"distal convoluted tubule cells"	"epithelial cell"
"loop of henle cells"	"epithelial cell"
"glomerular endothelial cells"	"endothelial cell"
"intercalated cells"	"epithelial cell"
"thick ascending limb cells"	"epithelial cell"
"mesangial cells"	"mesenchymal cell"
"classical monocytes"	"myeloid cell"
"cd8+ cytotoxic t cells"	"t/nk cell"
"naive cd8+ t cells"	"t/nk cell"
"cdc1 dendritic cells"	"myeloid cell"
"cdc2 dendritic cells"	"dendritic cell"
"erythroid progenitors"	"progenitor cell"
"megakaryocyte progenitors"	"progenitor cell"
"gamma delta t cells"	"t/nk cell"
"activated b cells"	"B cell"
"cd8+ central memory t cells"	"t/nk cell"
"mature adipocytes"	"adipocyte"
"steroid-producing cell"	"steroidogenic cell"
"red blood cells"	"erythrocyte"
"bronchial epithelial cells"	"epithelial cell"
"kidney loop of henle cells"	"epithelial cell"
"cardiac muscle cells"	"muscle cell"
"microglial cells"	"immune cell"
"placental trophoblast cells"	"epithelial cell"
"muscle fibers"	"muscle cell"
"cornified keratinocytes"	"epithelial cell"
"eccrine gland cells"	"epithelial cell"
"hair follicle keratinocytes"	"epithelial cell"
"skeletal muscle myocytes"	"muscle cell"
"sebocytes"	"epithelial cell"
"cd4+ t cells"	"t/nk cell"
"malignant epithelial cells"	"malignant cell"
"tumor-associated macrophages"	"myeloid cell"
"cancer-associated fibroblasts"	"stromal cell"
"cancer epithelial cells"	"malignant cell"
"cd8-positive t cell"	"t/nk cell"
"megakaryocyte progenitors"	"erythroid/megakaryocyte progenitor"
"neutrophil progenitors"	"myeloid cell"
"rod photoreceptor cells"	"neuronal cell"
"corneal keratocytes"	"stromal cell"
"limbal epithelial cells"	"epithelial cell"
"lacrimal gland acinar cells"	"epithelial cell"
"corneal stromal fibroblasts"	"stromal cell"
"ciliary epithelial cells"	"epithelial cell"
"enteric glial cell"	"glial cell"
"best4+ enterocyte"	"epithelial cell"
"cycling cell"	"cycling cell"
"submucosal gland cells"	"epithelial cell"
"microvascular endothelial cells"	"endothelial cell"
"pulmonary neuroendocrine cells"	"neuronal cell"
"memory b cell"	"B cell"
"tendon cells"	"connective tissue cell"
"memory cytotoxic t cell"	"t/nk cell"
"cerebellar granule neuron"	"neuronal cell"
"sympathetic neuron"	"neuronal cell"
"renal cell"	"renal cell"
"t-cell progenitor"	"t/nk cell"
"alveolar progenitor cells"	"epithelial cell"
"follicular dendritic cell"	"stromal cell"
"myeloid dendritic cell"	"myeloid cell"
"germinal center b cells (proliferating)"	"B cell"
"not sure, maybe plasma cells"	"B cell"
"white adipocyte"	"adipocyte"
"atrial cardiomyocyte"	"muscle cell"
"sperm"	"germ cell"
"lens cell"	"epithelial cell"
"testicular cell"	"testicular cell"
"choroid plexus cell"	"epithelial cell"
"pneumocyte ii"	"epithelial cell"
"eccrine gland cells"	"epithelial cell"
"gamma/delta t cell"	"t/nk cell"
"colon cancer epithelial cell"	"malignant cell"
"tumor-associated macrophage"	"myeloid cell"
"central memory t cell"	"t/nk cell"
"rod photoreceptor cell"	"neuronal cell"
"corneal endothelial cell"	"epithelial cell"
"retinal progenitor cell"	"progenitor cell"
"g cell"	"endocrine cell"
"cytotoxic t-cell"	"t/nk cell"
"neuron"	"neuronal cell"
"fgr"	"unknown"
"alk/mek/atm"	"unknown"
"mixed cell type containing both fibroblasts and mesenchymal stem cells"	"mixed cell type"
"hepatic cells"	"hepatic cell"
"g0s2, plin1, plin2, ghr, lpin1, foxo1, pparg"	"unknown"
"ms4a1, cr2, cd24, fas, cxcr3, cd1c"	"B cell"
"mmrn1, flt4, reln, ccl21, prox1, lyve1"	"endothelial cell"
"kit, tpsab1, fcer1a, tpsb2, cd69, hdc"	"mast cell"
"colorectal cancer"	"malignant cell"
"alb"	"hepatic cell"
"cd40"	"immune cell"
"cd45"	"immune cell"
"cd41"	"immune cell"
"cd28"	"immune cell"
"cd38"	"immune cell"
"cd19"	"B cell"
"squamous cell carcinoma"	"malignant cell"
"fetal muscle cells"	"muscle cell"
"endocrine cells"	"epithelial cell"
"sensory neurons"	"neuronal cell"
"liver cells"	"liver cell"
"lens cells"	"epithelial cell"
"marginal zone b cells"	"B cell"
"tumor cells"	"malignant cell"
"tubular cell"	"epithelial cell"
"activated t cells"	"t/nk cell"
"invariant nkt cells"	"t/nk cell"
"liver macrophage"	"immune cell"
"liver endothelial cell"	"endothelial cell"
"endometrial stromal cell"	"stromal cell"
"exocrine pancreas cell"	"epithelial cell"
"kidney cell"	"epithelial cell"
"testicular cell"	"reproductive cell"
"airway epithelial cell"	"epithelial cell"
"mature muscle fibers"	"muscle cell"
"mast cells/basophils"	"immune cell"
"retinal macrophages"	"immune cell"
"corneal fibroblasts"	"connective tissue cell"
"müller glia cells"	"glial cell"
"lipid-laden cell"	"connective tissue cell"
"macrophages/monocytes"	"immune cell"
"prostate secretory cells"	"epithelial cell"
"erythropoietic cells"	"blood cell"
"type ii alveolar epithelial cells"	"epithelial cell"
"thin limb of loop of henle"	"epithelial cell"
"early lymphoid progenitor"	"progenitor cell"
"follicular b cells"	"B cell"
"immature b cells"	"B cell"
"stress-response cell"	"stress cell"
"myeloid progenitor cells"	"progenitor cell"
"radial glial cells"	"glial cell"
"eccrine sweat gland cell"	"epithelial cell"
"type i alveolar epithelial cells"	"epithelial cell"
"fast-twitch muscle fiber"	"muscle cell"
"dermal papilla cells"	"connective tissue cell"
"keratocytes"	"connective tissue cell"
"limbal stem cells"	"stem cell"
"adipocyte progenitor"	"connective tissue cell"
"hillock cells"	"epithelial cell"
"salivary gland acinar cells"	"epithelial cell"
"cytotoxic cd4 t cells"	"t/nk cell"
"naive cd4 t cells"	"t/nk cell"
"effector memory t cells"	"t/nk cell"
"naive cd8 t cells"	"t/nk cell"
"proliferating cd8 t cells"	"t/nk cell"
"plasmacytoid dendritic cells"	"dendritic cell"
"classical monocytes"	"monocyte"
"non-classical monocytes"	"monocyte"
"myelinating oligodendrocytes"	"glial cell"
"skeletal muscle cell"	"muscle cell"
"pancreatic endocrine cell"	"endocrine cell"
"mucus-producing epithelial cell"	"epithelial cell"
"developing t cell"	"t/nk cell"
"alveolar epithelial type i"	"epithelial cell"
"arterial endothelial cells"	"endothelial cell"
"airway epithelial cells"	"epithelial cell"
"inner medullary collecting duct cell"	"epithelial cell"
"interstitial fibroblast"	"stromal cell"
"connecting tubule cell"	"epithelial cell"
"megakaryocyte-erythroid progenitor"	"progenitor cell"
"progenitors"	"progenitor cell"
"pro-b/pre-b cells"	"b cell"
"cytotoxic lymphocytes"	"t/nk cell"
"secretory epithelial cells"	"epithelial cell"
"developing b cells"	"b cell"
"oligodendrocytes/schwann cells"	"glial cell"
"thyroid follicular cells"	"epithelial cell"
"macrophages/dendritic cells"	"myeloid cell"
"pancreatic acinar cells"	"secretory cell"
"gastric chief cells"	"secretory cell"
"gastric epithelial cells (mucous)"	"epithelial cell"
"epithelial cells (ductal/glandular)"	"epithelial cell"
"basal epithelial cells"	"epithelial cell"
"prostate epithelial cells"	"epithelial cell"
"sperm/spermatid"	"germ cell"
"lactating mammary epithelial cell"	"epithelial cell"
"intestinal epithelial cells"	"epithelial cell"
"transitional epithelial cells"	"epithelial cell"
"kidney tubule cells"	"epithelial cell"
"pou2f3+ keratinocytes"	"epithelial cell"
"hair follicle cells"	"epithelial cell"
"sebaceous gland cells"	"epithelial cell"
"muscle fiber"	"muscle cell"
"pericytes and vascular smooth muscle cells"	"mesenchymal cell"
"alveolar epithelial type 2 cells"	"epithelial cell"
"conjunctival/corneal epithelium"	"epithelial cell"
"corneal stromal keratocytes"	"mesenchymal cell"
"limbal epithelial stem cells"	"epithelial cell"
"lacrimal gland acinar cells"	"epithelial cell"
"corneal epithelium"	"epithelial cell"
"retinal neurons"	"neuronal cell"
"enteric glial cell"	"glial cell"
"best4+ enterocyte"	"epithelial cell"
"absorptive enterocyte"	"epithelial cell"
"intestinal stem cell"	"stem cell"
"absorptive colonocyte"	"epithelial cell"
"mait/nkt cell"	"t/nk cell"
"conventional dendritic cell"	"myeloid cell"
"fibroblastic reticular cell"	"stromal cell"
"mature dendritic cell"	"myeloid cell"
"skeletal muscle fibers"	"muscle cell"
"basal/intermediate epithelial cell"	"epithelial cell"
"macrophage/myeloid cell"	"myeloid cell"
"ductal/transitional epithelial cell"	"epithelial cell"
"cd161+ t cell"	"t/nk cell"
"central memory t cell"	"t/nk cell"
"secretory gland epithelial cell"	"epithelial cell"
"cd4+ cytotoxic t cell"	"t/nk cell"
"cd4+ naive t cell"	"t/nk cell"
"cd4+ memory t cell"	"t/nk cell"
"cd4+ effector memory t cell"	"t/nk cell"
"cd8+ naive t cell"	"t/nk cell"
"cd8+ memory t cell"	"t/nk cell"
"cd8+ effector memory t cell"	"t/nk cell"
"asdc"	"dendritic cell"
"innate lymphoid cell precursor"	"t/nk cell"
"l4/5 it"	"neuronal cell"
"l5 it"	"neuronal cell"
"l5/6 np"	"neuronal cell"
"l6 ct"	"neuronal cell"
"l6b"	"neuronal cell"
"l6 it"	"neuronal cell"
"lamp5"	"neuronal cell"
"pvalb"	"neuronal cell"
"sncg"	"neuronal cell"
"sst"	"neuronal cell"
"npy"	"neuronal cell"
"vip"	"epithelial cell"
"mucus-producing cell"	"epithelial cell"
"alveolar epithelial type 1 cell"	NA
"alveolar epithelial type 2 cell"	"epithelial cell"
"megakaryocyte progenitor"	"progenitor cell"
"thyroid follicular cell"	"epithelial cell"
"pancreatic acinar cell"	"epithelial cell"
"gastric parietal cell"	"epithelial cell"
"gastric mucous neck cell"	"epithelial cell"
"prostate epithelial"	"epithelial cell"
"kidney tubule cell"	"epithelial cell"
"kidney collecting duct cell"	"epithelial cell"
"kidney intercalated cell"	"epithelial cell"
"interstitial cajal-like cells"	"stromal cell"
"slow twitch muscle fibers"	"muscle cell"
"fast twitch muscle fibers"	"muscle cell"
"myeloid progenitors"	"progenitor cell"
"photoreceptor cell"	"neuronal cell"
"migratory dendritic cell"	"dendritic cell"
"intermediate b cell"	"B cell"
"plasmablast"	"B cell"
"cd4+ cytotoxic t"	"t/nk cell"
"cd4+ naive t"	"t/nk cell"
"cd4+ proliferating t"	"t/nk cell"
"cd4+ central memory t"	"t/nk cell"
"cd4+ effector memory t"	"t/nk cell"
"regulatory t"	"t/nk cell"
"cd8+ naive t"	"t/nk cell"
"cd8+ proliferating t"	"t/nk cell"
"cd8+ central memory t"	"t/nk cell"
"cd8+ effector memory t"	"t/nk cell"
"axl+ dendritic cell"	"myeloid cell"
"conventional dendritic cell 1"	"myeloid cell"
"conventional dendritic cell 2"	"myeloid cell"
"cd14+ monocyte"	"myeloid cell"
"cd16+ monocyte"	"myeloid cell"
"cd56-dim natural killer"	"t/nk cell"
"proliferating natural killer"	"t/nk cell"
"cd56-bright natural killer"	"t/nk cell"
"double-negative t"	"t/nk cell"
"gamma-delta t"	"t/nk cell"
"mucosal associated invariant t"	"t/nk cell"
"layer 2-3 glutamatergic neuron, intratelencephalon-projecting"	"neuronal cell"
"layer 5 glutamatergic neuron, extratelencephalon-projecting"	"neuron"
"layer 5 glutamatergic neuron, intratelencephalon-projecting"	"neuron"
"layer 5-6 glutamatergic neuron, near-projecting"	"neuron"
"layer 6 glutamatergic neuron, corticothalamic-projecting"	"neuron"
"layer 6 glutamatergic neuron, intratelencephalon-projecting"	"neuron"
"layer 6 car3+ glutamatergic neuron, intratelencephalon-projecting"	"neuron"
"layer 6b glutamatergic neuron"	"neuron"
"lamp5+ gabaergic neuron"	"neuron"
"microglia / perivascular macrophage"	"immune cell"
"pvalb+ gabaergic neuron"	"neuron"
"sncg+ gabaergic neuron"	"neuron"
"sst+ gabaergic neuron"	"neuron"
"sst+ chodl+ gabaergic neuron"	"neuron"
"vip+ gabaergic neuron"	"neuron"
"vascular lepotomeningeal cell"	"vascular cell"
"quiescent stellate"	"glial cell"
"schwann"	"glial cell"
"activated stellate"	"glial cell"
"epsilon islet cell"	"endocrine cell"
"gamma islet cell"	"endocrine cell"
"delta islet cell"	"endocrine cell"
"ductal"	"epithelial cell"
"acinar"	"epithelial cell"
"beta islet cell"	"endocrine cell"
"alpha islet cell"	"endocrine cell"
"adrenocortical cells"	"endocrine cell"
"bronchiolar and alveolar epithelial cells"	"epithelial cell"
"sympathoblasts"	"neural crest cell"
"ureteric bud cells"	"epithelial cell"
"limbic system neurons"	"neuronal cell"
"endocardial cells"	"endothelial cell"
"ens glia"	"glial cell"
"retinal progenitors and muller glia"	"glial cell"
"purkinje neurons"	"neuronal cell"
"syncytiotrophoblasts and villous cytotrophoblasts"	"placental cell"
"granule neurons"	"neuronal cell"
"islet endocrine cells"	"endocrine cell"
"unipolar brush cells"	"neuronal cell"
"metanephric cells"	"mesenchymal cell"
"retinal pigment cells"	"epithelial cell"
"extravillous trophoblasts"	"trophoblast"
"ens neurons"	"neuronal"
"visceral neurons"	"neuronal"
"epicardial fat cells"	"adipocyte"
"parietal and chief cells"	"epithelial cell"
"bipolar cells"	"neuronal"
"corneal and conjunctival epithelial cells"	"epithelial cell"
"lens fibre cells"	"epithelial cell"
"trophoblast giant cells"	"trophoblast"
"alveolar epithelial type 1"	"epithelial cell"
"b"	"B cell"
"cd4 t"	"T/NK cell"
"plasma"	"B cell"
"basophil/mast"	"granulocyte"
"capillary"	"vascular"
"cd8 t"	"T/NK cell"
"plasmacytoid dendritic"	"dendritic cell"
"proliferating macrophage"	"macrophage"
"proliferating nk/t"	"T/NK cell"
"bronchial vessel"	"vascular"
"vein"	"vascular cell"
"artery"	"vascular cell"
"capillary intermediate"	"vascular cell"
"platelet/megakaryocyte"	"platelet/megakaryocyte"
"natural killer t"	"t/nk cell"
"fibromyocyte"	"mesenchymal cell"
"serous"	"epithelial cell"
"ascending thin limb"	"epithelial cell"
"connecting tubule"	"epithelial cell"
"descending thin limb"	"epithelial cell"
"papillary tip epithelial"	"epithelial cell"
"parietal epithelial"	"vascular cell"
"vascular smooth muscle / pericyte"	"granulocyte"
"basophil eosinophil mast progenitor"	"monocyte"
"cd14 monocyte"	"monocyte"
"cd16 monocyte"	"t/nk cell"
"cd4 effector"	"t/nk cell"
"cd4 memory"	"t/nk cell"
"cd4 naive"	"t/nk cell"
"cd8 effector 1"	"t/nk cell"
"cd8 effector 2"	"t/nk cell"
"cd8 effector 3"	"t/nk cell"
"cd8 memory"	"t/nk cell"
"cd8 naive"	"t/nk cell"
"common lymphoid progenitor"	"progenitor cell"
"early erythroid"	"erythroid cell"
"erythroid megakaryocyte progenitor"	"progenitor cell"
"granulocyte monocyte progenitor"	"progenitor cell"
"hematopoeitic stem cell"	"stem cell"
"late erythroid"	"erythroid cell"
"lymphoid primed multipotent progenitor"	"progenitor cell"
"memory b"	"B cell"
"naive b"	"B cell"
"natural killer cd56+"	"t/nk cell"
"precursor b"	"dendritic cell"
"precursor myeloid dendritic dell"	"dendritic cell"
"precursor plasmacytoid dendritic cell"	"B cell"
"progenitor b"	"progenitor cell"
"progenitor megakaryocyte"	"progenitor cell"
"proliferating t"	"t/nk cell"
"transitional b"	"B cell"
"innate lymphoid cell nk"	"t/nk cell"
"at2"	"epithelial cell"
"ec venous"	"endothelial cell"
"t cell lineage"	"t/nk cell"
"ec arterial"	"endothelial cell"
"at1"	"epithelial cell"
"multiciliated lineage"	"epithelial cell"
"b cell lineage"	"B cell"
